Current Date:,10/31/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/30/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,KEARNY MESA,4.5,4.7,4.1,2.9,3.4,4.6,3.8,.6,2.3,3.8,4.0,6.0,6.8,7.6,7.7,7.4,5.9,2.8,1.7,1.6,1.5,1.8,2.7,1.8,.0,7.7,14
,OTAY MESA DVN,2.9,3.1,1.6,1.2,1.4,1.9,1.6,2.1,1.6,4.0,4.4,7.7,8.2,8.1,6.7,6.4,4.4,2.7,1.4,.2,3.1,1.7,1.0,1.5,.0,8.2,12
,PENDLETON,5.6,5.8,5.9,5.8,6.3,6.5,5.8,3.3,.6,3.0,3.7,3.5,3.8,4.2,4.0,4.4,3.0,2.6,1.8,1.5,3.0,4.0,4.7,5.1,.0,6.5,05
15 SWSP MPH,ALPINE,1.0,.8,1.6,1.9,2.4,2.2,1.1,1.2,2.9,4.0,4.6,5.0,5.4,5.2,5.8,5.0,3.5,1.0,1.5,1.2,1.6,1.4,1.4,1.5,2.6,5.8,14
,CHULA VISTA,.8,1.5,1.2,1.3,.8,1.0,1.9,1.0,1.4,2.0,3.9,5.1,5.5,4.8,5.7,5.6,4.1,.8,.4,.3,.7,.4,.7,.9,2.2,5.7,14
,DOWNTOWN SES,.3,.2,1.2,.5,1.7,.5,1.8,.6,1.0,2.7,3.4,4.9,5.9,5.2,6.3,5.1,4.0,2.8,1.8,1.0,.8,.7,.7,2.0,2.3,6.3,14
,EL CAJON LES,.2,.2,.1,.3,.7,.2,.7,.3,.8,.9,2.0,3.9,6.5,6.5,5.8,5.5,5.2,1.7,1.1,.2,.6,.7,.3,.6,1.9,6.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.5,4.7,4.2,2.9,3.5,4.7,3.8,1.1,3.0,4.1,4.7,6.5,7.6,7.9,8.0,7.6,6.0,3.0,1.9,1.7,1.6,2.0,3.0,2.0,4.2,8.0,14
,OTAY MESA DVN,3.1,3.1,2.0,1.9,1.6,2.1,2.2,2.2,2.0,4.3,4.6,7.9,8.5,8.4,7.0,6.7,4.7,3.1,1.7,.5,3.1,1.9,1.1,2.2,3.6,8.5,12
,PENDLETON,5.7,5.9,5.9,5.9,6.5,6.6,5.9,3.6,2.0,3.1,3.8,3.6,3.9,4.3,4.2,4.6,3.2,2.7,2.2,1.6,3.2,4.1,4.8,5.2,4.3,6.6,05
16 AMBTEMP °F,ALPINE,67.5,67.0,66.3,68.3,68.1,67.6,68.1,70.8,73.6,75.6,78.0,80.1,80.9,80.4,79.8,77.8,73.8,69.4,67.5,66.9,67.7,67.8,69.1,66.3,71.6,80.9,12
,CARMEL MT RCH,57.7,57.3,56.6,55.2,55.8,56.1,57.7,63.5,70.0,75.5,80.4,81.6,80.2,80.8,80.1,77.7,73.3,69.5,67.0,64.5,64.1,61.4,60.6,59.8,66.9,81.6,11
,CHULA VISTA,57.1,57.2,55.4,56.0,53.7,54.0,56.4,61.8,67.4,72.9,75.7,76.0,76.3,75.9,72.9,70.6,67.8,66.0,65.2,63.8,62.3,60.8,59.4,58.0,64.3,76.3,12
,DOWNTOWN SES,59.6,58.4,57.6,56.2,56.0,55.8,57.6,62.0,67.8,71.5,74.9,76.2,76.4,76.6,74.4,72.5,70.2,66.8,65.6,65.0,64.5,63.7,62.6,60.7,65.5,76.6,13
,EL CAJON LES,54.3,53.0,51.9,50.3,49.2,48.6,48.6,54.2,62.7,71.7,80.3,84.4,85.8,85.1,84.8,82.5,75.8,70.0,67.0,64.6,61.9,60.1,58.4,56.0,65.1,85.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.8,58.2,57.7,58.1,57.3,57.6,58.7,66.8,72.5,75.3,78.7,80.9,81.5,81.1,79.4,76.7,71.1,67.7,64.3,63.0,61.3,60.0,59.1,56.7,66.7,81.5,12
,OTAY MESA DVN,60.9,61.3,60.5,59.4,60.8,60.8,60.7,63.7,71.1,76.8,80.8,81.4,80.4,78.7,77.9,74.5,70.0,66.5,65.1,65.2,64.4,63.8,63.8,61.7,67.9,81.4,11
,PENDLETON,56.9,56.1,55.1,53.9,52.7,50.3,54.3,57.4,63.7,63.9,66.3,68.1,68.8,69.5,69.5,68.4,67.7,66.1,65.9,64.9,63.3,61.6,60.0,58.4,61.8,69.5,13
17 RELHUM %,ALPINE,18,17,17,16,15,15,15,16,13,12,12,11,11,12,14,18,25,34,28,31,30,26,21,23,19,34,17
,EL CAJON LES,76,73,75,77,79,79,78,66,47,28,18,16,17,15,15,23,37,52,63,69,73,78,77,71,54,79,04
,KEARNY MESA,67,53,50,44,42,40,39,29,29,28,25,25,27,21,23,27,49,54,59,62,76,79,83,80,46,83,22
18 PRES mmHg,EL CAJON LES,749,749,749,749,749,749,749,749,750,749,749,748,748,747,747,747,747,748,748,748,749,749,749,749,749,750,08
,KEARNY MESA,750,750,750,749,750,750,750,750,751,750,750,750,749,748,748,748,749,749,749,750,750,750,750,750,750,751,08
19 SOLAR W/M2,EL CAJON LES,-4,-3,-3,-3,-3,-2,18,232,441,605,715,746,699,643,464,254,49,-6,-5,-4,-4,-4,-4,-4,201,746,11
