Current Date:,4/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.038,.035,.040,.035,M,M,M,M,M,M,M,M,M,.043,.040,.040,.040,.039,.039,.038,.038,.043,17
27 NO Trace,EL CAJON LES,.00,.02,.01,.01,.10,C,C,.91,1.00,1.01,.82,.67,.59,.67,.60,.45,.40,.31,.37,.16,.12,.07,.04,.02,.37,1.01,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,08
29 CO Tr PPB,EL CAJON LES,183.6,162.2,C,C,C,226.2,226.8,183.4,178.0,191.5,193.3,188.5,196.7,166.2,163.0,148.7,148.0,151.5,165.8,160.1,148.7,147.1,145.2,145.8,172.3,226.8,06
BCarbon ug/m3,10TH AVE MARINE TERM,.25,.32,.20,.25,.36,.42,<,<,<,<,<,<,.36,.38,.26,.13,.11,.08,.10,.15,.18,.18,.22,.20,.23,.42,05
,ALPINE,.11,.10,.06,.08,.18,.22,.16,.19,.06,.10,.11,.13,.14,.17,.11,.11,.09,.23,.09,.07,.05,.05,.07,.09,.12,.23,17
,CHICANO PARK,.17,.20,.57,.27,.45,.76,.79,.28,.52,.36,.27,.21,.22,.24,.21,.16,.15,.13,.16,.13,.20,.22,.21,.43,.30,.79,06
,DOWNTOWN SES,.18,.22,.20,.18,.29,.47,.56,.21,.28,.35,.25,.21,.25,.20,.20,.12,.11,.14,.16,.11,.19,.17,.15,.19,.22,.56,06
,OCEANVIEW BLVD,.34,.27,.27,.31,.41,.62,.70,.26,.31,.49,.35,.25,.24,.25,.24,.16,.16,.17,.16,.12,.14,.16,.17,.22,.28,.70,06
,SAN YSIDRO,.28,.32,.15,.20,.44,.58,.63,.24,.13,.20,.25,.24,.18,.20,.15,.10,.08,.11,.19,.11,.23,.22,.24,.07,.23,.63,06
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
