Current Date:,9/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,PENDLETON,3.1,2.7,2.9,3.5,3.6,3.9,4.7,4.9,3.1,4.5,6.8,4.3,8.9,7.4,5.7,5.6,5.3,4.5,3.6,4.7,2.7,2.5,2.7,4.0,4.4,8.9,12
15 SWSP MPH,ALPINE,1.5,1.4,.9,1.1,1.0,1.1,1.9,1.6,2.8,3.3,3.7,4.8,4.6,4.9,5.5,5.6,4.6,3.3,1.7,.9,.9,.9,1.0,1.2,2.5,5.6,15
,CHULA VISTA,1.5,1.4,1.7,2.2,3.4,2.5,1.8,2.3,1.9,2.7,4.8,6.6,7.5,7.9,7.1,8.3,6.5,6.1,4.5,3.2,2.5,1.4,.7,.6,3.7,8.3,15
,DOWNTOWN SES,3.6,3.2,4.2,4.5,4.7,2.9,3.4,2.7,2.8,4.2,5.6,7.9,8.4,7.4,7.5,8.2,8.0,5.6,5.1,3.8,3.3,1.9,1.3,.7,4.6,8.4,12
,EL CAJON LES,3.0,1.5,2.4,3.5,3.3,2.5,3.2,3.4,2.9,2.9,3.5,3.6,5.4,6.9,7.0,6.5,6.0,5.5,5.2,3.9,3.0,2.0,.7,.1,3.7,7.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.7,3.1,4.1,6.4,7.7,6.2,4.6,2.9,3.7,4.9,5.5,8.7,10.4,10.0,10.5,10.5,9.1,8.3,5.9,5.2,4.1,3.1,1.4,2.2,5.8,10.5,14
,OTAY MESA DVN,3.6,2.7,2.4,4.1,6.4,5.2,4.5,3.3,3.6,3.7,5.2,7.5,8.4,10.8,9.7,9.3,9.8,8.0,5.8,2.9,1.6,.9,.9,1.6,5.1,10.8,13
,PENDLETON,3.5,2.7,2.9,3.7,3.8,4.1,5.1,5.1,4.4,4.8,7.0,4.5,9.2,7.6,5.9,5.8,5.5,4.7,3.8,4.9,3.0,2.5,2.8,4.0,4.6,9.2,12
16 AMBTEMP °F,ALPINE,59.6,58.7,56.4,54.7,55.2,55.9,57.2,59.3,62.9,67.8,73.3,76.7,79.7,82.2,81.7,79.1,75.8,71.4,66.6,64.2,62.5,61.5,60.3,61.0,66.0,82.2,13
,CARMEL MT RCH,64.6,64.5,64.7,64.5,64.4,64.3,65.1,66.2,67.8,70.6,74.1,76.6,77.3,76.8,75.3,74.4,73.3,70.0,67.3,66.1,65.5,65.2,64.9,64.1,68.7,77.3,12
,CHULA VISTA,66.7,66.9,66.7,66.8,66.9,66.9,67.4,68.1,69.5,71.8,74.8,75.3,74.7,73.4,73.6,72.3,72.1,70.4,68.9,68.5,68.3,67.7,67.2,66.6,69.6,75.3,11
,DOWNTOWN SES,66.7,67.2,67.3,67.4,66.9,66.9,67.5,68.2,69.4,71.6,73.1,73.7,73.9,73.7,73.3,72.4,71.4,70.2,69.0,68.4,68.2,68.1,67.7,67.5,69.6,73.9,12
,EL CAJON LES,65.3,65.4,65.4,64.9,64.4,65.0,65.4,66.2,68.6,71.9,75.5,78.7,81.5,81.2,80.0,79.6,77.8,74.7,70.9,68.7,67.6,66.9,66.1,64.9,70.7,81.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.5,66.1,66.5,66.5,66.6,66.4,67.1,68.1,70.0,73.1,75.0,76.7,75.9,75.2,74.6,73.3,72.0,69.8,67.5,67.0,66.6,66.3,65.2,63.7,69.3,76.7,11
,OTAY MESA DVN,66.1,66.1,65.5,65.7,65.9,65.6,65.9,66.3,69.1,72.0,75.9,78.3,77.8,77.0,75.5,74.4,72.8,69.9,67.2,66.1,66.0,65.9,65.5,65.0,69.4,78.3,11
,PENDLETON,67.5,68.2,67.2,67.1,67.3,67.5,68.3,69.1,70.9,73.5,63.3,13.7,74.0,73.6,72.9,72.7,72.3,71.3,70.5,70.5,70.0,69.1,67.6,66.4,67.3,74.0,12
17 RELHUM %,ALPINE,88,88,91,93,95,93,88,79,70,57,44,40,34,28,34,44,53,64,77,83,87,87,90,88,71,95,04
,EL CAJON LES,75,75,74,75,75,73,71,68,60,53,46,40,35,42,47,51,55,61,70,75,78,79,81,83,64,83,23
,KEARNY MESA,84,77,73,72,72,71,69,66,60,54,48,49,54,59,63,66,70,74,80,82,84,85,86,88,70,88,23
18 PRES mmHg,EL CAJON LES,747,748,747,748,748,748,749,749,750,749,749,748,748,747,747,747,747,747,747,748,748,748,748,748,748,750,08
,KEARNY MESA,745,745,745,745,746,746,747,747,747,747,747,746,746,745,745,745,745,745,745,745,746,746,746,746,746,747,06
19 SOLAR W/M2,EL CAJON LES,3,3,3,2,2,7,35,101,550,784,905,956,945,853,701,495,257,57,-1,0,0,0,0,0,277,956,11
,KEARNY MESA,-1,-1,-1,-1,-1,9,53,125,493,809,925,975,961,874,730,527,306,83,1,1,1,1,0,0,286,975,11
25 NOY,EL CAJON LES,4.42,4.57,4.23,4.52,4.89,C,C,6.40,5.52,6.27,6.32,7.33,6.79,5.70,4.79,4.82,4.96,4.16,4.54,4.78,4.58,5.48,5.08,5.73,5.26,7.33,11
26 NOY-NO,EL CAJON LES,4.43,4.56,4.22,4.50,4.88,C,C,5.86,4.60,5.13,5.34,6.26,6.09,4.96,4.29,4.28,4.15,3.95,4.34,4.40,4.33,5.42,5.00,5.73,4.85,6.26,11
27 NO Trace,EL CAJON LES,.00,.01,.00,.02,.00,C,C,.53,.91,1.14,.98,1.06,.69,.74,.50,.54,.81,.21,.20,.38,.24,.05,.07,.00,.41,1.14,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.1,.1,.2,.2,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,184.4,193.0,C,C,C,217.8,233.4,232.2,211.1,228.0,231.3,232.5,250.2,214.1,199.9,196.2,201.1,197.3,206.5,213.1,200.2,191.2,195.2,203.8,211.0,250.2,12
BCarbon ng/m3,DOWNTOWN SES,201.4,233.3,206.4,174.0,182.3,188.5,354.7,314.4,267.8,452.7,519.1,382.2,318.3,259.9,257.3,339.1,282.5,348.0,299.0,195.1,235.4,273.7,341.0,331.3,289.9,519.1,10
