Current Date:,9/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,PENDLETON,68.4,68.0,67.0,67.3,66.8,67.1,68.7,69.4,69.7,70.5,71.7,73.3,73.9,74.6,74.7,74.2,72.3,71.0,70.7,70.5,70.4,69.5,69.8,70.1,70.4,74.7,14
17 RELHUM %,ALPINE,40,39,40,42,42,42,40,34,39,47,47,46,44,45,49,50,55,68,74,79,80,84,93,96,55,96,23
,EL CAJON LES,74,77,81,91,90,90,85,74,66,63,63,58,57,55,53,55,62,66,69,74,78,82,88,90,73,91,03
,KEARNY MESA,88,88,91,91,91,90,88,84,77,P,70,67,67,66,64,66,70,74,79,82,82,81,83,86,79,91,02
18 PRES mmHg,EL CAJON LES,744,744,744,744,744,744,745,745,745,745,745,745,744,744,744,744,744,745,745,746,746,747,747,747,745,747,21
,KEARNY MESA,742,742,742,742,742,742,742,743,743,P,743,743,742,742,742,742,742,743,743,743,744,745,744,744,743,745,21
19 SOLAR W/M2,EL CAJON LES,1,0,0,1,3,12,152,393,565,633,640,741,838,743,605,392,169,17,1,0,1,2,1,2,246,838,12
,KEARNY MESA,-1,-1,0,0,0,5,106,354,585,P,871,711,732,785,634,396,174,26,0,0,0,0,0,0,234,871,10
25 NOY,EL CAJON LES,8.24,9.39,8.14,7.91,7.89,C,C,10.78,17.29,16.16,8.81,7.83,7.20,5.78,4.80,4.92,5.76,6.18,7.65,7.13,5.79,4.06,3.90,4.63,7.73,17.29,08
26 NOY-NO,EL CAJON LES,8.25,8.82,8.14,7.85,7.87,C,C,8.58,13.13,12.66,7.44,6.67,6.07,5.04,4.08,4.23,4.95,5.96,7.35,7.01,5.65,4.03,3.73,4.63,6.91,13.13,08
27 NO Trace,EL CAJON LES,-.01,.56,.00,.06,.01,C,C,2.20,4.16,3.49,1.37,1.15,1.12,.74,.71,.69,.80,.22,.29,.12,.14,.02,.17,.00,.81,4.16,08
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.2,.3,.1,.2,.1,.1,.1,.1,.1,.2,.1,.0,.0,.0,.0,.0,.0,.3,09
29 CO Tr PPB,EL CAJON LES,296.0,290.6,C,C,C,261.4,264.5,293.3,392.8,323.7,236.0,213.6,199.2,173.8,173.5,185.0,178.5,199.4,214.3,211.4,201.6,173.3,175.4,171.7,229.9,392.8,08
BCarbon ng/m3,DOWNTOWN SES,573.3,599.9,326.1,299.9,375.2,714.0,1010.6,787.1,334.2,305.4,272.8,244.9,233.3,185.2,190.6,184.5,175.7,166.3,174.6,144.8,235.3,146.9,304.1,181.3,340.3,1010.6,06
