Current Date:,6/21/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,OTAY MESA DVN,1.3,1.7,2.9,1.2,.9,2.4,.8,2.8,3.9,6.1,5.6,7.4,8.9,6.6,8.7,8.1,7.3,8.3,6.7,4.7,3.1,2.0,2.4,1.3,.0,8.9,12
,PENDLETON,2.1,1.3,2.0,2.8,3.5,2.8,.7,2.3,4.8,5.7,4.3,4.6,5.1,6.4,8.2,6.2,5.8,4.1,2.5,2.0,2.8,2.3,2.7,.8,.0,8.2,14
15 SWSP MPH,ALPINE,1.1,.7,1.1,1.4,.8,1.0,1.3,3.0,4.3,4.5,4.9,4.2,6.1,6.7,5.1,5.5,5.1,4.1,3.6,2.1,1.2,.9,.8,.5,2.9,6.7,13
,CHULA VISTA,1.5,2.2,2.0,2.4,2.0,2.4,2.1,3.3,4.4,3.7,4.5,6.2,6.5,6.2,6.5,6.1,6.3,5.2,3.8,2.8,2.0,1.9,2.0,1.7,3.7,6.5,12
,DOWNTOWN SES,2.2,2.8,2.3,2.8,2.2,3.0,2.7,3.2,3.3,4.5,5.2,7.4,8.1,6.0,8.4,7.8,6.9,5.9,4.0,3.3,3.0,2.5,2.4,2.7,4.3,8.4,14
,EL CAJON LES,2.0,1.6,2.1,1.4,2.4,2.1,2.5,2.8,5.7,5.7,4.0,6.0,7.5,7.4,6.7,7.0,5.9,6.4,5.1,3.3,2.8,2.6,2.2,2.3,4.1,7.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,2.9,1.7,2.3,3.4,3.7,4.5,3.2,4.9,4.9,4.7,6.7,9.8,7.6,7.6,8.0,8.0,7.6,6.0,3.7,4.3,4.1,3.0,2.5,4.9,9.8,12
,OTAY MESA DVN,1.5,2.1,3.1,2.3,1.0,2.8,1.4,3.5,4.8,6.5,6.2,8.0,9.4,7.0,9.2,8.4,7.6,8.5,6.8,4.9,3.5,2.1,2.5,1.4,4.8,9.4,12
,PENDLETON,2.3,1.8,2.5,2.9,3.6,3.0,2.1,2.6,5.0,5.9,4.5,4.9,5.3,6.6,8.4,6.3,6.0,4.3,2.7,2.2,2.9,2.5,2.8,1.1,3.8,8.4,14
