Current Date:,10/3/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/2/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
19 SOLAR W/M2,EL CAJON LES,-6,-6,-6,-5,-5,-1,63,270,510,614,734,788,769,679,539,262,85,8,-9,-7,-7,-6,-6,-6,219,788,11
,KEARNY MESA,0,0,0,0,0,4,76,283,501,644,676,776,717,656,526,248,193,28,0,0,0,0,0,0,222,776,11
25 NOY,EL CAJON LES,23.97,24.92,21.27,20.94,20.72,C,C,25.66,17.92,8.76,4.60,4.21,3.78,4.19,4.29,5.36,8.04,9.09,13.20,16.78,17.22,15.49,12.53,13.95,13.49,25.66,07
26 NOY-NO,EL CAJON LES,22.66,24.19,21.14,19.78,19.70,C,C,17.45,13.28,7.31,4.07,3.80,3.56,3.89,3.91,4.79,7.72,8.98,13.08,16.72,16.94,15.36,12.48,13.69,12.47,24.19,01
27 NO Trace,EL CAJON LES,1.30,.72,.12,1.15,1.02,C,C,8.21,4.63,1.45,.52,.40,.21,.29,.38,.56,.32,.11,.12,.05,.27,.12,.05,.25,1.01,8.21,07
28 SO2 Tr PPB,EL CAJON LES,.2,.1,C,C,C,.0,.1,.1,.1,.1,.1,.1,.1,.1,.1,.2,.2,.1,.2,.2,.1,.1,.1,.1,.1,.2,00
29 CO Tr PPB,EL CAJON LES,552.3,607.8,C,C,C,521.1,678.6,540.8,422.3,293.3,217.9,203.6,197.7,200.3,191.4,233.5,298.5,323.5,430.7,510.5,546.9,550.1,389.0,393.1,395.3,678.6,06
BCarbon ug/m3,10TH AVE MARINE TERM,2.38,1.94,1.99,2.06,2.03,1.55,2.17,3.50,1.75,1.23,2.46,1.61,1.78,1.01,1.22,1.27,2.07,2.59,1.02,1.15,.91,1.77,1.38,1.26,1.75,3.50,07
,ALPINE,.11,.10,.09,.08,.10,.10,.23,.14,.09,.11,.08,.10,.09,.18,.19,.20,.22,.31,.38,.78,.55,.32,.18,.14,.20,.78,19
,CHICANO PARK,2.34,2.09,1.62,3.86,1.57,1.21,1.73,1.91,2.79,1.30,1.28,.85,.79,.77,.86,.78,1.20,.94,.68,.76,1.14,1.98,2.64,1.92,1.54,3.86,03
,DOWNTOWN SES,1.75,1.78,1.27,.94,.63,.64,.95,1.04,1.45,1.49,1.18,.68,.92,.92,.76,.78,1.11,1.17,.77,.88,1.12,1.60,1.79,2.42,1.17,2.42,23
,OCEANVIEW BLVD,1.77,1.52,.80,.71,.76,.96,1.64,1.28,.53,.73,1.06,.57,.60,.67,.61,.69,.86,.92,.84,.91,1.23,1.11,1.12,1.15,.96,1.77,00
,SAN YSIDRO,4.87,7.18,6.74,5.66,5.46,3.50,4.00,4.45,2.58,1.74,1.28,.58,.49,.65,.57,.46,.57,.68,.71,.97,.95,.71,1.11,1.25,2.38,7.18,01
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
