Current Date:,12/16/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/15/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.042,C,C,.038,.036,.037,.033,M,M,M,M,M,M,M,M,M,.035,.037,.031,.025,.032,.035,.036,.035,.042,00
16 AMBTEMP °F,ALPINE,41.0,40.4,41.0,41.3,40.9,40.2,40.6,41.3,44.1,45.4,47.2,48.6,49.2,50.1,50.5,50.2,47.9,44.6,42.9,41.2,40.0,40.6,41.4,41.0,43.8,50.5,14
,CARMEL MT RCH,46.5,46.0,43.5,42.6,42.2,41.4,41.6,43.4,47.3,50.9,52.0,53.2,54.7,55.9,56.1,54.5,51.7,50.2,49.1,47.0,45.4,44.3,43.5,42.3,47.7,56.1,14
,CHULA VISTA,51.6,49.5,47.3,45.2,44.4,45.2,45.1,46.5,51.1,54.4,55.5,56.6,57.5,57.4,56.9,56.1,54.7,52.8,51.3,50.0,48.5,47.4,47.0,45.3,50.7,57.5,12
,DOWNTOWN SES,52.8,52.1,50.2,47.5,46.8,46.3,45.7,47.5,52.2,55.1,56.0,57.2,57.7,57.8,57.4,56.7,55.0,53.5,52.3,51.1,49.6,48.6,47.9,46.9,51.8,57.8,13
,EL CAJON LES,43.3,42.1,41.0,40.6,40.1,39.2,38.8,39.8,44.5,50.8,54.6,55.4,56.5,57.8,58.3,57.6,54.2,51.2,49.0,45.6,44.1,43.0,41.9,40.2,47.1,58.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,49.5,47.4,45.5,43.0,42.7,43.1,42.9,45.0,50.4,53.7,54.5,56.0,56.6,56.7,56.6,55.4,52.8,50.2,49.8,47.6,46.2,44.8,44.3,43.2,49.1,56.7,13
,OTAY MESA DVN,47.6,47.6,47.2,47.0,46.3,45.4,45.2,46.9,48.2,51.5,53.7,54.8,55.3,55.8,55.3,53.7,52.0,49.7,48.4,47.9,47.4,47.1,45.4,45.9,49.4,55.8,13
,PENDLETON,53.2,50.8,47.1,45.2,45.3,43.8,43.1,43.0,47.3,51.6,56.3,57.5,57.9,58.0,57.7,56.7,55.0,53.3,52.0,51.2,48.5,47.0,45.8,44.4,50.5,58.0,13
17 RELHUM %,ALPINE,92,94,92,93,94,96,94,92,83,74,58,49,49,44,41,43,52,65,77,83,84,82,78,79,75,96,05
,EL CAJON LES,94,96,97,98,99,99,100,100,92,74,54,48,46,40,40,41,46,55,64,75,80,81,82,85,74,100,06
,KEARNY MESA,69,74,82,90,91,91,92,90,76,61,58,52,51,47,40,46,56,66,68,74,79,81,83,85,71,92,06
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,754,754,755,756,756,756,755,754,754,753,753,753,754,754,755,755,755,755,755,754,756,08
,KEARNY MESA,754,754,754,754,754,755,755,756,757,757,757,756,755,755,755,755,755,755,755,756,756,756,756,756,755,757,08
19 SOLAR W/M2,EL CAJON LES,0,0,0,1,1,0,3,33,163,365,483,566,516,420,313,164,22,-2,-1,-1,0,0,0,0,127,566,11
,KEARNY MESA,0,0,0,0,0,0,4,109,290,438,490,593,558,485,372,177,37,0,0,0,0,0,0,0,148,593,11
25 NOY,EL CAJON LES,15.29,10.77,11.56,16.06,20.56,C,C,45.33,46.48,22.96,5.11,4.66,6.22,4.12,4.90,5.38,7.94,12.26,21.17,29.34,27.74,19.13,13.65,16.25,16.67,46.48,08
26 NOY-NO,EL CAJON LES,14.24,10.58,10.88,13.92,15.58,C,C,15.25,17.95,12.47,3.68,3.23,4.36,3.11,3.69,4.54,6.67,11.33,19.98,25.23,23.42,17.35,12.55,12.98,11.95,25.23,19
27 NO Trace,EL CAJON LES,1.04,.19,.67,2.14,4.98,C,C,30.07,28.53,10.49,1.42,1.43,1.86,1.01,1.21,.84,1.26,.92,1.18,4.11,4.31,1.77,1.09,3.27,4.71,30.07,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.1,.1,.2,.1,.0,.0,.0,.2,20
29 CO Tr PPB,EL CAJON LES,385.7,286.2,C,C,C,408.0,595.9,789.3,712.1,439.9,199.1,186.9,191.6,182.5,190.8,209.6,232.0,325.6,491.3,652.3,606.3,508.1,460.1,424.5,403.7,789.3,07
BCarbon ug/m3,10TH AVE MARINE TERM,.04,.16,.09,.30,.28,.65,1.00,1.10,1.28,1.04,.37,.30,.13,.23,.22,.52,.15,.24,.39,.72,1.79,1.91,1.33,.89,.63,1.91,21
,ALPINE,.03,.04,.02,.02,.06,.08,.08,.35,.18,.10,.07,.07,.06,.06,.06,.10,.18,.42,.37,.63,.58,.31,.21,.19,.18,.63,19
,CHICANO PARK,.07,.07,.53,.39,.48,.96,1.42,1.46,1.37,.50,.24,.47,.29,.27,.27,.26,.33,.43,.67,1.39,2.06,2.12,1.54,1.24,.78,2.12,21
,DOWNTOWN SES,.07,.05,.08,.18,.29,.53,.90,.94,.83,.34,.15,.26,.24,.23,.21,.22,.22,.45,.52,1.25,2.00,1.75,1.47,1.04,.59,2.00,20
,OCEANVIEW BLVD,.08,.09,.41,.50,.57,.68,1.09,1.16,.97,.21,.15,.23,.23,.24,.28,.43,.41,.47,.95,1.26,2.09,2.09,2.63,2.71,.83,2.71,23
,SAN YSIDRO,.05,.04,.11,.26,.62,.69,1.99,2.63,2.11,1.99,.46,.18,.17,.18,.18,.19,.20,.43,.43,.83,.57,.58,.59,.65,.67,2.63,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
