Current Date:,4/21/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/20/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,DOWNTOWN SES,3.6,3.7,3.0,1.9,1.0,1.8,2.3,4.5,5.2,6.4,8.9,9.2,8.9,10.4,7.9,5.4,6.1,7.1,5.9,3.6,2.8,2.6,3.2,3.2,4.9,10.4,13
,EL CAJON LES,1.7,1.9,.4,1.8,3.2,3.3,2.0,4.0,4.3,4.4,4.8,5.6,6.4,7.7,9.5,5.5,6.2,6.6,6.1,4.5,3.8,2.9,3.2,2.6,4.3,9.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.8,3.9,3.7,5.0,4.8,3.8,5.5,5.9,8.3,8.4,10.0,10.8,8.7,13.6,13.6,8.7,6.9,7.2,6.4,2.8,3.7,2.7,.8,1.9,6.2,13.6,13
,OTAY MESA DVN,2.5,1.6,1.2,1.0,1.5,3.0,3.1,4.3,6.4,9.3,10.7,12.0,10.7,12.3,13.1,8.1,9.2,9.9,8.0,6.2,4.8,.9,.4,.8,5.9,13.1,14
,PENDLETON,3.5,4.1,4.1,4.5,4.0,4.1,5.0,4.0,4.5,5.0,5.5,5.3,6.6,8.0,6.0,5.9,6.4,6.6,6.1,3.5,2.6,2.4,2.8,.8,4.6,8.0,13
16 AMBTEMP °F,ALPINE,50.8,50.6,50.4,50.2,50.4,50.3,50.8,53.8,54.9,56.8,57.9,59.7,60.6,62.5,60.3,57.6,57.1,55.6,53.8,52.5,51.6,51.2,51.1,50.7,54.2,62.5,13
,CARMEL MT RCH,56.3,56.0,55.3,55.4,56.0,56.3,57.2,57.9,59.9,61.2,62.1,62.8,63.9,63.3,63.2,62.4,60.9,59.1,58.0,57.5,57.4,57.2,57.1,57.1,58.9,63.9,12
,CHULA VISTA,59.3,59.2,58.4,57.2,57.1,57.2,58.1,59.7,61.2,62.7,64.1,64.1,65.1,63.2,62.5,63.0,62.2,60.9,60.0,59.8,59.6,59.8,59.9,59.6,60.6,65.1,12
,DOWNTOWN SES,59.6,59.3,58.3,58.0,58.4,58.4,58.8,59.8,61.0,62.8,63.4,63.2,64.5,64.2,62.1,62.3,62.0,61.3,60.2,60.0,60.1,60.3,60.4,60.4,60.8,64.5,12
,EL CAJON LES,57.3,56.7,57.1,57.0,57.3,57.4,58.5,61.5,62.1,65.0,65.1,65.6,66.4,66.8,65.4,64.7,63.3,61.7,59.9,59.5,59.1,58.8,58.7,58.3,61.0,66.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.9,57.7,57.1,57.1,56.7,57.1,58.7,60.0,60.9,62.6,62.9,62.8,63.4,63.7,62.3,62.2,61.0,59.9,59.1,58.9,58.8,58.8,58.9,58.8,59.9,63.7,13
,OTAY MESA DVN,56.3,56.2,56.0,56.0,55.0,55.1,56.5,58.0,59.4,60.8,62.0,62.1,62.9,63.3,60.7,60.2,59.9,58.5,57.7,57.4,56.7,56.4,56.4,56.4,58.3,63.3,13
,PENDLETON,58.4,58.2,58.4,58.7,58.6,58.7,60.0,60.3,61.4,62.6,63.5,63.8,64.4,64.6,63.9,63.5,63.0,61.8,60.9,60.8,61.0,60.8,60.2,60.6,61.2,64.6,13
17 RELHUM %,ALPINE,89,88,92,94,93,96,95,83,78,72,71,66,65,62,70,76,77,80,85,89,92,92,93,94,83,96,05
,EL CAJON LES,82,83,82,86,84,82,79,70,67,59,61,61,61,60,62,63,66,70,75,74,74,76,76,78,72,86,03
,KEARNY MESA,88,87,92,92,92,91,86,80,76,71,72,73,71,70,73,73,75,79,81,81,82,82,82,84,81,92,02
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,751,751,751,751,751,751,751,751,751,751,750,751,751,751,752,752,752,751,751,752,20
,KEARNY MESA,751,751,751,751,751,751,752,752,752,752,753,752,752,752,752,752,752,752,752,752,753,753,753,752,752,753,10
19 SOLAR W/M2,EL CAJON LES,1,2,3,1,2,20,162,367,370,546,388,465,609,561,585,329,165,47,3,2,2,2,2,2,193,609,12
,KEARNY MESA,0,0,0,0,0,11,184,259,307,420,498,591,522,793,563,508,142,33,2,0,0,0,0,0,201,793,13
25 NOY,EL CAJON LES,2.73,2.48,2.81,2.36,3.01,C,C,3.74,3.87,3.75,3.43,3.65,3.45,3.58,3.31,3.15,3.38,3.45,2.97,3.29,2.65,3.20,2.86,2.46,3.16,3.87,08
26 NOY-NO,EL CAJON LES,2.72,2.47,2.76,2.36,2.95,C,C,3.01,3.16,3.11,3.01,3.02,3.00,3.07,2.83,2.59,3.01,3.20,2.75,3.15,2.52,2.96,2.66,2.41,2.85,3.20,17
27 NO Trace,EL CAJON LES,.00,.00,.04,.00,.06,C,C,.73,.70,.63,.41,.62,.45,.51,.47,.55,.37,.24,.21,.13,.13,.23,.19,.05,.30,.73,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,182.9,177.8,C,C,C,166.3,174.2,164.3,168.3,M,C,178.3,182.3,186.7,165.5,176.1,187.1,165.4,163.2,153.7,154.8,161.3,155.6,157.4,169.5,187.1,16
BCarbon ug/m3,DOWNTOWN SES,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,.04,00
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
