Current Date:,4/16/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/15/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.048,C,C,.048,.041,M,M,M,M,M,M,M,M,M,M,M,.061,.059,.056,.057,.059,.059,.060,.054,.061,17
15 SWSP MPH,ALPINE,1.3,.9,.8,.8,1.9,3.3,2.3,1.6,3.3,4.4,4.9,5.4,6.1,6.4,7.0,6.8,7.0,4.3,1.9,1.1,1.0,.8,.8,1.5,3.2,7.0,14
,CHULA VISTA,.7,1.5,1.7,1.8,1.3,2.9,2.7,2.6,1.8,2.7,5.5,6.6,6.5,6.4,8.0,7.0,5.7,3.2,2.3,1.7,1.3,2.0,2.7,1.5,3.3,8.0,14
,DOWNTOWN SES,.7,1.3,1.6,1.9,1.7,1.7,1.1,1.4,1.6,4.1,5.4,6.5,5.8,5.4,6.6,7.1,5.9,3.7,2.9,1.8,.5,2.3,1.8,1.6,3.1,7.1,15
,EL CAJON LES,.5,.3,1.1,.3,.9,.7,.2,1.7,1.5,1.7,3.3,5.4,7.5,7.6,8.4,9.2,7.2,4.5,3.5,1.3,.7,.2,.8,1.5,2.9,9.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.9,3.3,3.4,5.0,8.0,5.6,4.8,2.6,3.0,3.1,4.7,8.9,8.6,8.1,10.2,11.1,9.2,5.8,4.1,2.1,1.8,2.9,2.6,1.8,5.2,11.1,15
,OTAY MESA DVN,.5,2.0,2.2,3.1,2.8,2.8,2.9,2.7,2.4,2.2,4.7,8.0,9.3,9.5,10.7,9.1,6.8,4.8,3.4,2.4,1.9,2.7,3.0,1.0,4.2,10.7,14
,PENDLETON,3.6,3.7,4.5,1.9,1.8,2.5,4.8,5.0,4.5,3.8,3.3,4.5,4.6,4.3,4.6,3.6,3.4,3.6,4.2,3.2,2.3,2.9,4.6,5.7,3.8,5.7,23
16 AMBTEMP °F,ALPINE,58.4,57.9,58.7,58.5,56.6,53.7,57.1,66.1,69.3,69.8,72.4,73.4,74.0,74.6,74.0,73.2,70.2,66.6,63.1,61.0,59.6,59.9,58.8,58.7,64.4,74.6,13
,CARMEL MT RCH,55.5,54.5,53.8,54.1,53.8,53.4,56.9,61.9,68.4,72.3,75.0,75.8,75.6,75.6,76.3,74.2,72.2,69.6,66.3,63.0,60.8,59.9,58.6,57.8,64.4,76.3,14
,CHULA VISTA,57.1,56.0,55.7,55.6,54.0,55.8,58.7,63.5,67.7,73.6,75.0,72.8,73.5,73.7,72.3,71.2,70.7,69.0,66.0,63.7,62.5,61.1,59.7,57.3,64.4,75.0,10
,DOWNTOWN SES,58.1,57.6,57.0,56.3,55.3,55.0,58.2,63.3,69.5,71.8,73.2,73.3,74.4,75.6,74.8,73.2,72.4,71.0,68.3,66.3,64.7,62.5,61.3,60.6,65.6,75.6,13
,EL CAJON LES,55.3,53.7,52.0,51.1,50.0,50.0,55.5,63.1,69.4,75.0,78.5,80.2,80.4,81.0,81.2,79.6,76.4,74.0,70.3,66.2,62.2,59.6,57.6,56.0,65.8,81.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,57.6,56.1,55.4,54.6,54.8,55.1,59.6,65.4,70.2,74.3,76.2,76.9,76.9,76.0,76.7,75.0,72.8,70.4,65.9,62.3,60.0,57.4,56.5,56.5,65.1,76.9,11
,OTAY MESA DVN,57.6,57.2,56.6,55.5,54.8,53.9,55.9,61.9,67.6,72.2,76.0,76.1,75.0,74.8,74.4,72.1,70.5,69.4,66.3,63.0,61.4,60.1,59.8,59.4,64.6,76.1,11
,PENDLETON,55.0,54.7,53.3,53.0,51.7,51.6,55.1,60.8,67.3,66.0,65.6,66.2,66.2,66.4,66.3,66.5,66.7,65.7,64.3,63.8,62.8,60.7,58.8,56.9,61.1,67.3,08
17 RELHUM %,ALPINE,33,33,31,35,42,35,34,23,16,16,14,14,16,21,20,16,21,25,32,38,39,38,39,37,28,42,04
,EL CAJON LES,94,95,93,91,82,82,73,48,36,25,17,18,25,21,17,18,27,26,30,41,52,64,67,60,50,95,01
,KEARNY MESA,91,94,89,78,69,63,54,42,35,23,29,32,31,29,23,24,29,36,45,57,60,66,66,65,51,94,01
18 PRES mmHg,EL CAJON LES,751,751,751,751,750,751,751,751,751,750,750,750,749,749,748,748,748,748,748,748,749,749,749,749,750,751,00
,KEARNY MESA,752,752,751,751,751,751,752,752,752,752,751,751,750,750,750,749,749,749,749,749,750,750,749,749,750,752,00
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,-1,42,216,458,698,908,1038,1095,1066,982,824,612,367,118,0,-3,-2,-2,-1,-1,351,1095,11
,KEARNY MESA,0,0,0,0,0,31,217,454,672,845,952,1008,998,922,790,607,386,149,8,0,0,0,0,0,335,1008,11
25 NOY,EL CAJON LES,9.05,9.33,8.78,10.31,9.78,C,C,19.88,19.10,8.47,5.33,5.83,10.29,M,4.87,4.57,5.33,7.04,9.84,12.74,11.95,10.54,9.95,4.35,9.39,19.88,07
26 NOY-NO,EL CAJON LES,8.89,9.02,8.18,9.10,9.17,C,C,12.04,12.42,6.43,4.29,4.82,8.42,M,4.34,4.12,4.80,6.50,9.72,12.64,11.92,10.53,9.78,4.36,8.16,12.64,19
27 NO Trace,EL CAJON LES,.15,.30,.60,1.21,.61,C,C,7.84,6.68,2.04,1.03,1.00,1.87,M,.53,.44,.53,.54,.11,.09,.03,.01,.16,.00,1.22,7.84,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.0,.0,.0,.1,.2,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,303.1,307.9,C,C,C,366.7,579.9,360.7,339.4,237.3,192.0,205.4,270.0,M,187.7,180.1,204.7,207.9,229.5,306.0,314.8,298.6,283.5,201.6,278.8,579.9,06
BCarbon ug/m3,DOWNTOWN SES,.88,.85,.66,.56,.60,1.04,1.11,.53,.42,1.17,1.07,.72,.45,.39,.41,.52,.36,.34,.35,.38,.38,.38,.38,.38,.60,1.17,09
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
